contig,bplen,gc_content,coding_density,checkv_quality,checkv_completeness,checkv_contamination,description,taxonomy
LC227956.1,2560,30.94,99.73,Low-quality,14.14,0.0,unknown,Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales;Sedoreoviridae
LC227967.1,2359,31.79,98.94,Low-quality,12.98,0.0,unknown,Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales;Sedoreoviridae
LC227879.1,1551,28.11,94.97,Low-quality,9.05,0.0,unknown,Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales;Sedoreoviridae
LC227978.1,1356,37.61,89.38,Low-quality,7.84,0.0,unknown,Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales;Sedoreoviridae
LC227901.1,1059,31.82,90.37,Low-quality,6.19,0.0,unknown,Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales;Sedoreoviridae
LC227890.1,1039,35.8,95.0,Low-quality,6.09,0.0,unknown,Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales;Sedoreoviridae
LC227989.1,1052,33.27,92.97,Low-quality,6.17,0.0,unknown,Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales;Sedoreoviridae
LC088096.2,3305,32.83,98.85,Low-quality,18.34,0.0,unknown,Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales;Sedoreoviridae
LC088097.1,2739,40.31,98.25,Low-quality,15.27,0.0,unknown,Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales;Sedoreoviridae
LC088098.1,2583,32.56,97.33,Low-quality,14.25,0.0,unknown,Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales;Sedoreoviridae
LC088099.1,2349,35.12,98.72,Low-quality,12.92,0.0,unknown,Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales;Sedoreoviridae
LC088102.1,1812,39.79,6.79,Low-quality,9.86,0.0,unknown,unknown
LC088100.1,1348,40.5,88.35,Low-quality,7.79,0.0,unknown,Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales;Sedoreoviridae
LC088104.1,1092,37.73,90.93,Low-quality,5.89,0.0,unknown,Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales;Sedoreoviridae
LC088103.1,1043,36.72,82.55,Low-quality,6.11,0.0,unknown,Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales;Sedoreoviridae
LC088101.1,1065,35.49,92.68,Low-quality,6.24,0.0,unknown,Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales;Sedoreoviridae
EF554082.1,3302,33.01,98.85,Low-quality,18.32,0.0,unknown,Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales;Sedoreoviridae
EF554083.1,2684,32.79,98.81,Low-quality,15.09,0.0,unknown,Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales;Sedoreoviridae
EF554084.1,2591,31.8,98.53,Low-quality,14.32,0.0,unknown,Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales;Sedoreoviridae
EF554085.1,2347,35.79,98.93,Low-quality,12.91,0.0,unknown,Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales;Sedoreoviridae
EF554088.1,1566,28.03,95.02,Low-quality,9.14,0.0,unknown,Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales;Sedoreoviridae
EF554086.1,1356,38.35,87.83,Low-quality,7.84,0.0,unknown,Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales;Sedoreoviridae
EF554090.1,1066,31.89,90.34,Low-quality,6.23,0.0,unknown,Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales;Sedoreoviridae
EF554089.1,1059,35.98,94.05,Low-quality,6.21,0.0,unknown,Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales;Sedoreoviridae
EF554087.1,1062,37.01,92.09,Low-quality,6.23,0.0,unknown,Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales;Sedoreoviridae
OP245251.1,9653,44.28,2.95,High-quality,97.94,0.0,unknown,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Patatavirales;Potyviridae
KC881005.1,29787,40.9,4.25,High-quality,99.94,0.0,unknown,Viruses;Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Nidovirales;Coronaviridae
MN841288.1,7836,49.26,7.04,Low-quality,6.01,0.0,unknown,Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Alsuviricetes;Martellivirales
KR052714.1,3512,36.22,99.26,Low-quality,19.47,0.0,unknown,Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales;Sedoreoviridae
KR052715.1,2843,37.71,98.98,Low-quality,15.78,0.0,unknown,Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales;Sedoreoviridae
KR052716.1,2342,35.1,97.99,Low-quality,13.06,0.0,unknown,Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales;Sedoreoviridae
KR052717.1,2300,36.39,98.61,Low-quality,12.84,0.0,unknown,Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales;Sedoreoviridae
KR052709.1,1277,40.02,75.18,Low-quality,7.15,0.0,unknown,unknown
KR052718.1,1268,40.06,94.87,Low-quality,7.07,0.0,unknown,unknown
KR052710.1,1030,38.93,87.67,Low-quality,5.72,0.0,unknown,unknown
EU569831.1,8463,37.32,2.09,High-quality,100.0,0.0,unknown,Viruses;Riboviria;Pararnavirae;Artverviricota;Revtraviricetes;Ortervirales;Caulimoviridae
MZ944847.1,7760,53.67,9.16,High-quality,95.2,0.0,unknown,Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Alsuviricetes;Tymovirales;Betaflexiviridae
CY033954.1,2322,39.15,96.9,Low-quality,16.95,0.0,unknown,Viruses;Riboviria;Orthornavirae;Negarnaviricota;Insthoviricetes;Articulavirales;Orthomyxoviridae
CY033955.1,2351,38.24,98.26,Low-quality,16.19,0.0,unknown,Viruses;Riboviria;Orthornavirae;Negarnaviricota;Insthoviricetes;Articulavirales;Orthomyxoviridae
CY033953.1,2255,38.45,96.59,Low-quality,15.53,0.0,unknown,unknown
CY033948.1,1826,42.39,95.95,Low-quality,12.57,0.0,unknown,unknown
CY033951.1,1802,42.45,95.23,Low-quality,12.41,0.0,unknown,unknown
CY033950.1,1501,41.91,9.59,Low-quality,10.34,0.0,unknown,unknown
CY033949.1,1145,38.69,19.13,Low-quality,7.88,0.0,unknown,unknown
CY033952.1,1045,40.29,20.96,Low-quality,7.2,0.0,unknown,unknown
KP752753.1,3269,30.9,99.85,Low-quality,18.15,0.0,unknown,Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales;Sedoreoviridae
KP752754.1,2698,31.39,99.52,Low-quality,15.2,0.0,unknown,Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales;Sedoreoviridae
KP752755.1,2530,28.22,99.13,Low-quality,14.01,0.0,unknown,Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales;Sedoreoviridae
KP752756.1,2328,31.96,99.74,Low-quality,12.82,0.0,unknown,Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales;Sedoreoviridae
KP752748.1,1519,29.89,95.98,Low-quality,8.92,0.0,unknown,Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales;Sedoreoviridae
KP752757.1,1317,35.84,90.66,Low-quality,7.63,0.0,unknown,Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales;Sedoreoviridae
KP752750.1,1015,31.23,93.1,Low-quality,5.95,0.0,unknown,Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales;Sedoreoviridae
KP752749.1,1003,32.9,96.31,Low-quality,5.89,0.0,unknown,Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales;Sedoreoviridae
KP752758.1,1023,31.96,87.1,Low-quality,6.0,0.0,unknown,Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales;Sedoreoviridae
BK013574.1,3545,50.47,47.98,High-quality,90.72,0.0,unknown,Viruses;Riboviria;Orthornavirae;Lenarviricota;Leviviricetes
KM817637.1,10925,35.78,60.6,Medium-quality,88.23,0.0,"Shuangao Bedbug Virus 2 strain SACC-1 ORF1 (ORF1), glycoprotein (G), and RNA-dependent RNA polymerase (L) genes, complete cds",Viruses;Riboviria;Orthornavirae;Negarnaviricota;Monjiviricetes;Mononegavirales;Rhabdoviridae
MN736966.1,2087,53.23,92.0,High-quality,94.82,0.0,unknown,Viruses;Riboviria;Orthornavirae;Lenarviricota;Miaviricetes;Ourlivirales;Botourmiaviridae
KM350508.1,9863,41.94,6.3,High-quality,100.0,0.0,unknown,Viruses;Riboviria
KT003690.1,3965,40.2,98.74,Low-quality,20.51,0.0,unknown,Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales;Sedoreoviridae
KT003691.1,3229,39.86,98.48,Low-quality,16.46,0.0,unknown,unknown
KT003692.1,2792,42.77,98.1,Low-quality,14.44,0.0,unknown,Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales;Sedoreoviridae
KT003693.1,1978,42.32,97.83,Low-quality,10.22,0.0,unknown,Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales;Sedoreoviridae
KT003697.1,1747,41.79,94.1,Low-quality,8.92,0.0,unknown,Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales;Sedoreoviridae
KT003694.1,1566,43.42,97.89,Low-quality,8.0,0.0,unknown,Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales;Sedoreoviridae
KT003696.1,1167,46.53,91.0,Low-quality,5.97,0.0,unknown,Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales;Sedoreoviridae
KT003698.1,1166,44.43,95.71,Low-quality,5.95,0.0,unknown,Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales;Sedoreoviridae
KT003695.1,1160,49.14,94.66,Low-quality,5.92,0.0,unknown,Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales;Sedoreoviridae
MT210609.1,9825,55.15,94.75,High-quality,100.0,0.0,unknown,Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Flasuviricetes;Amarillovirales;Flaviviridae
A10937.1,7152,39.04,90.77,High-quality,100.0,0.0,"Human rhinovirus 89 (HRV89), complete genome",Viruses;Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;Picornaviridae
AM040955.1,6279,41.65,6.35,High-quality,98.52,0.0,unknown,Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Alsuviricetes;Martellivirales;Virgaviridae
EU938659.1,2247,38.9,100.0,Not-determined,unknown,0.0,unknown,Viruses;Riboviria;Orthornavirae;Negarnaviricota;Ellioviricetes;Bunyavirales;Arenaviridae
EU123328.1,3346,43.45,51.82,Low-quality,31.69,0.0,unknown,Viruses;Riboviria;Orthornavirae;Negarnaviricota;Ellioviricetes;Bunyavirales;Arenaviridae
KR701629.1,3302,32.16,98.85,Low-quality,18.32,0.0,unknown,Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales;Sedoreoviridae
KR701630.1,2684,32.9,98.81,Low-quality,15.1,0.0,unknown,Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales;Sedoreoviridae
KR701631.1,2591,30.45,98.53,Low-quality,14.31,0.0,unknown,Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales;Sedoreoviridae
KR701632.1,2359,32.09,98.94,Low-quality,12.98,0.0,unknown,Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales;Sedoreoviridae
KR701624.1,1566,28.16,95.02,Low-quality,9.13,0.0,unknown,Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales;Sedoreoviridae
KR701633.1,1356,38.27,87.83,Low-quality,7.84,0.0,unknown,Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales;Sedoreoviridae
KR701626.1,1066,32.55,90.34,Low-quality,6.23,0.0,unknown,Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales;Sedoreoviridae
KR701625.1,1059,35.22,94.05,Low-quality,6.2,0.0,unknown,Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales;Sedoreoviridae
KR701634.1,1062,32.39,83.9,Low-quality,6.22,0.0,unknown,Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales;Sedoreoviridae
KC409304.1,7511,49.39,10.7,High-quality,99.35,0.0,unknown,Viruses;Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;Caliciviridae
KX883582.1,5313,46.6,23.94,Medium-quality,85.19,0.0,"Hubei narna-like virus 11 strain WHBL72829 RNA-dependent RNA polymerase and hypothetical protein genes, complete cds",Viruses;Riboviria;Orthornavirae;Lenarviricota
KX883155.1,2824,59.03,21.67,High-quality,100.0,0.0,unknown,Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Tolucaviricetes;Tolivirales;Tombusviridae
AB933675.1,7509,49.34,10.71,High-quality,99.33,0.0,unknown,Viruses;Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;Caliciviridae
KU726694.1,8696,46.1,3.79,High-quality,100.0,0.0,unknown,Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Alsuviricetes;Tymovirales;Betaflexiviridae
OL472141.1,8250,43.48,97.02,Medium-quality,85.23,0.0,unknown,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Patatavirales;Potyviridae
MN820528.1,11329,46.68,32.31,High-quality,97.89,0.0,unknown,Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Alsuviricetes;Martellivirales;Togaviridae
LC215880.1,6011,54.77,4.64,Medium-quality,81.01,0.0,unknown,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Patatavirales;Potyviridae
AX149771.1,9078,41.48,6.81,High-quality,100.0,0.0,unknown,Viruses;Riboviria;Pararnavirae;Artverviricota;Revtraviricetes;Ortervirales;Retroviridae
KT192549.1,10893,47.49,93.39,High-quality,100.0,0.0,"Parramatta River virus isolate 92-B115745, complete genome",Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Flasuviricetes;Amarillovirales;Flaviviridae
MW897296.1,8260,44.32,3.78,High-quality,96.05,0.0,unknown,Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Alsuviricetes;Tymovirales;Betaflexiviridae
LC585887.1,8799,51.93,66.35,Medium-quality,76.25,0.0,unknown,Viruses;Riboviria;Orthornavirae;Negarnaviricota;Monjiviricetes;Mononegavirales
MZ209682.1,2459,38.51,27.94,High-quality,94.54,0.0,unknown,Viruses;Riboviria;Orthornavirae;Lenarviricota;Howeltoviricetes;Cryppavirales;Mitoviridae
LC066399.1,3326,45.97,89.57,Low-quality,38.44,0.0,unknown,Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Alsuviricetes;Martellivirales;Bromoviridae
LC066400.1,3015,45.64,85.27,Low-quality,34.93,0.0,unknown,Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Alsuviricetes;Martellivirales
LC066401.1,2182,47.34,13.61,Low-quality,25.22,0.0,unknown,Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Alsuviricetes;Martellivirales;Bromoviridae
GQ153540.1,29704,41.17,4.25,High-quality,99.61,0.0,unknown,Viruses;Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Nidovirales;Coronaviridae
FJ206202.1,1565,33.42,95.08,Low-quality,9.17,0.0,unknown,Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales;Sedoreoviridae
FJ206173.1,1050,33.9,89.43,Low-quality,6.15,0.0,unknown,Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales;Sedoreoviridae
FJ206126.1,1059,33.71,94.05,Low-quality,6.22,0.0,unknown,Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales;Sedoreoviridae
FJ206051.1,1059,34.84,97.45,Low-quality,6.21,0.0,unknown,Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales;Sedoreoviridae
MW752165.1,6057,50.44,96.33,Medium-quality,50.84,0.0,unknown,Viruses;Riboviria;Orthornavirae;Negarnaviricota;Monjiviricetes;Mononegavirales;Mymonaviridae
KJ559086.1,3269,30.96,99.85,Low-quality,18.15,0.0,unknown,Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales;Sedoreoviridae
KJ559087.1,2695,31.61,99.52,Low-quality,15.19,0.0,unknown,Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales;Sedoreoviridae
KJ559088.1,2530,28.1,99.13,Low-quality,13.99,0.0,unknown,Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales;Sedoreoviridae
KJ559089.1,2330,31.29,99.79,Low-quality,12.83,0.0,unknown,Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales;Sedoreoviridae
KJ559081.1,1519,30.41,95.98,Low-quality,8.9,0.0,unknown,Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales;Sedoreoviridae
KJ559090.1,1317,35.69,90.66,Low-quality,7.63,0.0,unknown,Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales;Sedoreoviridae
KJ559083.1,1015,31.13,93.1,Low-quality,5.95,0.0,unknown,Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales;Sedoreoviridae
KJ559082.1,1003,32.0,96.31,Low-quality,5.89,0.0,unknown,Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales;Sedoreoviridae
KJ559091.1,1015,33.4,87.78,Low-quality,5.95,0.0,unknown,Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales;Sedoreoviridae
D10066.1,8897,33.56,96.94,Medium-quality,52.7,0.0,unknown,Viruses;Riboviria;Orthornavirae;Negarnaviricota;Ellioviricetes;Bunyavirales;Tospoviridae
S48091.1,4821,35.68,70.63,Low-quality,28.56,0.0,unknown,Viruses;Riboviria;Orthornavirae;Negarnaviricota;Ellioviricetes;Bunyavirales;Peribunyaviridae
D00645.1,2916,35.36,26.54,Low-quality,17.28,0.0,unknown,Viruses;Riboviria;Orthornavirae;Negarnaviricota;Ellioviricetes;Bunyavirales;Tospoviridae
AY710267.1,2917,38.53,23.24,Low-quality,31.34,0.0,unknown,Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Alsuviricetes;Tymovirales;Betaflexiviridae
MZ209734.1,21143,39.28,11.96,High-quality,100.0,0.0,unknown,Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Flasuviricetes;Amarillovirales;Flaviviridae
MH766492.1,7281,49.22,25.96,High-quality,100.0,0.0,unknown,Viruses;Riboviria;Orthornavirae;Pisuviricota;Duplopiviricetes;Durnavirales;Fusariviridae
KJ752890.1,3269,31.2,99.85,Low-quality,18.15,0.0,unknown,Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales;Sedoreoviridae
KJ752891.1,2695,31.54,99.52,Low-quality,15.19,0.0,unknown,Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales;Sedoreoviridae
KJ752892.1,2530,28.81,99.13,Low-quality,13.99,0.0,unknown,Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales;Sedoreoviridae
KJ752893.1,2333,31.76,99.66,Low-quality,12.84,0.0,unknown,Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales;Sedoreoviridae
KJ752885.1,1519,30.15,95.98,Low-quality,8.92,0.0,unknown,Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales;Sedoreoviridae
KJ752894.1,1320,35.45,90.45,Low-quality,7.64,0.0,unknown,Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales;Sedoreoviridae
KJ752887.1,1015,31.03,93.1,Low-quality,5.95,0.0,unknown,Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales;Sedoreoviridae
KJ752886.1,1001,31.57,96.5,Low-quality,5.88,0.0,unknown,Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales;Sedoreoviridae
KJ752895.1,1023,31.87,87.1,Low-quality,6.0,0.0,unknown,Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales;Sedoreoviridae
EU162589.1,9058,45.18,5.13,High-quality,100.0,0.0,"Phlox Virus B, complete genome",Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Alsuviricetes;Tymovirales;Betaflexiviridae
