contig_id	contig_length	provirus	proviral_length	gene_count	viral_genes	host_genes	checkv_quality	miuvig_quality	completeness	completeness_method	contamination	kmer_freq	warnings
AF356697.1	8072	No	NA	8	4	0	High-quality	High-quality	91.79	HMM-based (lower-bound)	0.0	1.05	
M18752.1	3323	No	NA	3	2	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
AF357836.1	7458	No	NA	3	3	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
AY180137.1	7591	No	NA	3	3	0	High-quality	High-quality	93.69	HMM-based (lower-bound)	0.0	1.0	
L14546.1	7161	No	NA	4	3	0	High-quality	High-quality	99.68	AAI-based (high-confidence)	0.0	1.0	
AF110996.1	3024	No	NA	2	2	0	High-quality	High-quality	99.76	AAI-based (high-confidence)	0.0	1.0	
M95589.1	3018	No	NA	2	2	0	High-quality	High-quality	99.57	AAI-based (high-confidence)	0.0	1.0	
U13988.1	8174	No	NA	9	3	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
AF454635.1	7857	No	NA	6	3	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
AF234533.1	14900	No	NA	10	6	0	High-quality	High-quality	98.61	AAI-based (high-confidence)	0.0	1.0	
AF364175.3	8253	No	NA	7	3	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
X04658.1	7932	No	NA	7	3	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
X06166.1	7743	No	NA	7	3	0	High-quality	High-quality	99.08	AAI-based (high-confidence)	0.0	1.0	
AF033807.1	8805	No	NA	5	4	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.01	
DQ375403.1	6404	No	NA	1	1	0	Medium-quality	Genome-fragment	51.27	AAI-based (high-confidence)	0.0	1.0	
DQ380206.1	3885	No	NA	1	1	0	Low-quality	Genome-fragment	32.38	AAI-based (high-confidence)	0.0	1.0	
DQ380151.1	1690	No	NA	2	2	0	Low-quality	Genome-fragment	14.08	AAI-based (high-confidence)	0.0	1.0	
X03869.1	3466	No	NA	3	2	0	High-quality	High-quality	99.38	AAI-based (high-confidence)	0.0	1.0	
J04374.1	6331	No	NA	12	0	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	no viral genes detected
U01060.1	4615	No	NA	2	2	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
U94421.1	9550	No	NA	1	1	0	High-quality	High-quality	99.56	AAI-based (high-confidence)	0.0	1.0	
AF098523.1	6035	No	NA	2	2	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
AF033814.1	3811	No	NA	2	1	0	Medium-quality	Genome-fragment	54.59	AAI-based (high-confidence)	0.0	1.16	
V00642.1	3569	No	NA	3	2	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
M10060.1	8952	No	NA	5	3	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.09	
L00163.1	3644	No	NA	1	1	0	Low-quality	Genome-fragment	43.94	AAI-based (high-confidence)	0.0	1.0	
X01572.1	2593	No	NA	1	1	0	Low-quality	Genome-fragment	30.63	AAI-based (high-confidence)	0.0	1.0	
K02703.1	2037	No	NA	2	1	0	Low-quality	Genome-fragment	24.56	AAI-based (high-confidence)	0.0	1.0	
M34077.1	6355	No	NA	4	4	0	High-quality	High-quality	99.52	AAI-based (high-confidence)	0.0	1.0	
AJ311524.1	8908	No	NA	5	3	0	High-quality	High-quality	99.96	AAI-based (high-confidence)	0.0	1.0	
U73745.1	11488	No	NA	3	3	0	High-quality	High-quality	99.32	AAI-based (high-confidence)	0.0	1.0	
AF092924.1	8832	No	NA	1	1	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
AB009656.1	9760	No	NA	2	1	0	Low-quality	Genome-fragment	38.74	AAI-based (high-confidence)	0.0	1.0	
AB010376.1	4056	No	NA	2	0	0	Low-quality	Genome-fragment	16.1	AAI-based (high-confidence)	0.0	1.0	no viral genes detected
AB010377.1	3123	No	NA	3	0	0	Low-quality	Genome-fragment	12.4	AAI-based (high-confidence)	0.0	1.0	no viral genes detected
AB010378.1	2915	No	NA	2	1	0	Low-quality	Genome-fragment	11.57	AAI-based (high-confidence)	0.0	1.0	
AB000403.1	2704	No	NA	5	1	0	Low-quality	Genome-fragment	10.73	AAI-based (high-confidence)	0.0	1.0	
AB000404.1	2584	No	NA	2	0	0	Low-quality	Genome-fragment	10.26	AAI-based (high-confidence)	0.0	1.0	no viral genes detected
U32108.1	5241	No	NA	2	2	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
D13957.1	6656	No	NA	5	3	0	High-quality	High-quality	99.66	AAI-based (high-confidence)	0.0	1.0	
U76874.2	8284	No	NA	3	2	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
AF033810.1	4788	No	NA	1	1	0	Not-determined	Genome-fragment	NA	NA	0.0	1.07	
AF352024.1	5776	No	NA	5	4	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
AF406744.1	7560	No	NA	4	4	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
AF174533.1	3204	No	NA	1	1	0	Medium-quality	Genome-fragment	78.79	AAI-based (high-confidence)	0.0	1.0	
AF174534.1	1336	No	NA	1	1	0	Low-quality	Genome-fragment	29.71	AAI-based (high-confidence)	0.0	1.0	
D26017.1	6366	No	NA	4	3	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
AF391797.1	8918	No	NA	7	3	0	Complete	High-quality	100.0	DTR (high-confidence)	0.0	1.08	
AB010302.1	8405	No	NA	6	5	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
X60213.1	3027	No	NA	2	2	0	High-quality	High-quality	99.86	AAI-based (high-confidence)	0.0	1.0	
X15828.2	8178	No	NA	8	4	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
M32690.1	8482	No	NA	3	3	0	Complete	High-quality	100.0	DTR (high-confidence)	0.0	1.01	
M25270.1	4701	No	NA	5	4	0	High-quality	High-quality	99.98	AAI-based (high-confidence)	0.0	1.0	
L32603.1	13720	No	NA	6	2	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
U94514.1	12002	No	NA	6	5	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.11	
AF017780.1	8372	No	NA	4	4	0	High-quality	High-quality	99.61	AAI-based (high-confidence)	0.0	1.0	
AF033812.1	5894	No	NA	1	1	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.11	
M58152.1	7555	No	NA	2	2	0	High-quality	High-quality	98.27	AAI-based (high-confidence)	0.0	1.0	
M92355.1	5284	No	NA	3	2	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
L16015.1	4041	No	NA	5	3	0	High-quality	High-quality	99.89	AAI-based (high-confidence)	0.0	1.0	
U78817.1	1801	No	NA	1	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.05	no viral genes detected
AF033815.1	8557	No	NA	5	4	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.08	
AF039080.1	5202	No	NA	2	2	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
AF235168.2	5662	No	NA	7	3	0	High-quality	High-quality	99.62	AAI-based (high-confidence)	0.0	1.0	
AF170028.1	8018	No	NA	3	3	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
U04327.1	13246	No	NA	6	5	0	Complete	High-quality	100.0	DTR (high-confidence)	0.0	1.15	
AF086833.2	18959	No	NA	8	3	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
AF238884.1	6827	No	NA	3	2	0	Medium-quality	Genome-fragment	80.85	HMM-based (lower-bound)	0.0	1.0	
AF314662.1	7352	No	NA	5	5	0	Medium-quality	Genome-fragment	88.25	AAI-based (medium-confidence)	0.0	1.0	
AB038147.1	5853	No	NA	5	4	0	High-quality	High-quality	99.34	AAI-based (high-confidence)	0.0	1.0	
AY029299.1	16236	No	NA	7	6	0	High-quality	High-quality	97.93	AAI-based (high-confidence)	0.0	1.0	
AF079780.2	17904	No	NA	6	6	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
AF180391.2	15717	No	NA	9	6	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
AF226851.1	7051	No	NA	7	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
AF226852.1	4741	No	NA	7	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
AF226853.1	3192	No	NA	7	0	0	Low-quality	Genome-fragment	7.56	AAI-based (medium-confidence)	0.0	1.0	no viral genes detected
AB010300.1	8660	No	NA	6	5	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
AF353511.1	28033	No	NA	6	6	0	High-quality	High-quality	99.86	AAI-based (high-confidence)	0.0	1.0	
AF457102.1	15600	No	NA	6	5	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
U62546.1	3762	No	NA	6	4	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
V00141.1	8024	No	NA	7	2	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
AY494853.1	3051	No	NA	2	2	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
M14008.1	2630	No	NA	2	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.15	no viral genes detected; low-confidence DTR
L06906.1	9202	No	NA	5	2	0	Complete	High-quality	100.0	DTR (high-confidence)	0.0	1.01	
M62730.1	6151	No	NA	3	3	0	High-quality	High-quality	99.2	AAI-based (high-confidence)	0.0	1.0	
D00637.1	6362	No	NA	2	2	0	High-quality	High-quality	99.04	AAI-based (high-confidence)	0.0	1.0	
AF022937.1	10011	No	NA	3	2	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
U18246.1	5312	No	NA	1	1	0	Medium-quality	Genome-fragment	67.43	AAI-based (high-confidence)	0.0	1.0	
L37299.1	2478	No	NA	1	1	0	Low-quality	Genome-fragment	31.45	AAI-based (high-confidence)	0.0	1.0	
D13747.1	6955	No	NA	4	4	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
M57938.1	12734	No	NA	3	1	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
M34193.1	9256	No	NA	6	3	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.01	
V01468.1	1239	No	NA	1	1	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
U07551.1	4009	No	NA	4	2	0	Medium-quality	Genome-fragment	84.76	HMM-based (lower-bound)	0.0	1.0	
D12505.1	6424	No	NA	5	4	0	High-quality	High-quality	98.96	AAI-based (high-confidence)	0.0	1.0	
U03387.1	6311	No	NA	5	4	0	High-quality	High-quality	98.96	AAI-based (high-confidence)	0.0	1.0	
AF147498.1	11550	No	NA	7	3	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
AJ132576.1	7025	No	NA	3	3	0	Medium-quality	Genome-fragment	66.12	AAI-based (high-confidence)	0.0	1.0	
AJ132577.1	3683	No	NA	4	2	0	Low-quality	Genome-fragment	34.48	AAI-based (high-confidence)	0.0	1.0	
AF092942.1	15140	No	NA	11	2	0	High-quality	High-quality	99.56	AAI-based (high-confidence)	0.0	1.0	
U26458.1	10688	No	NA	4	1	0	Complete	High-quality	100.0	DTR (high-confidence)	0.0	1.0	
U23414.1	6376	No	NA	4	4	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
AF321057.1	6562	No	NA	4	4	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
AF277675.1	10205	No	NA	2	2	0	High-quality	High-quality	99.85	AAI-based (high-confidence)	0.0	1.0	
AF323747.1	9476	No	NA	1	1	0	High-quality	High-quality	99.96	AAI-based (high-confidence)	0.0	1.0	
AF033813.1	5833	No	NA	4	2	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.11	
AF356189.1	5358	No	NA	2	2	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
AF237816.1	8432	No	NA	5	5	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
AB017503.1	6298	No	NA	4	4	0	High-quality	High-quality	98.77	AAI-based (high-confidence)	0.0	1.0	
AF461742.1	5698	No	NA	3	2	0	High-quality	High-quality	100.0	AAI-based (medium-confidence)	0.0	1.0	
AB056571.1	3107	No	NA	1	1	0	Medium-quality	Genome-fragment	69.87	AAI-based (high-confidence)	0.0	1.0	
AB056572.1	1421	No	NA	2	1	0	Low-quality	Genome-fragment	31.28	AAI-based (high-confidence)	0.0	1.0	
AF174584.1	3476	No	NA	3	1	0	Low-quality	Genome-fragment	42.29	AAI-based (high-confidence)	0.0	1.0	
AF174585.1	2979	No	NA	1	1	0	Low-quality	Genome-fragment	36.05	AAI-based (high-confidence)	0.0	1.0	
U15608.1	2056	No	NA	2	2	0	Low-quality	Genome-fragment	24.93	AAI-based (high-confidence)	0.0	1.0	
AF368272.1	7711	No	NA	1	1	0	Medium-quality	Genome-fragment	54.59	AAI-based (high-confidence)	0.0	1.0	
AF020051.3	6405	No	NA	1	1	0	Low-quality	Genome-fragment	45.34	AAI-based (high-confidence)	0.0	1.0	
X52938.1	7489	No	NA	3	3	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
X57924.1	8002	No	NA	3	1	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
M37980.1	7286	No	NA	4	3	0	Medium-quality	Genome-fragment	67.93	HMM-based (lower-bound)	0.0	1.0	low-confidence DTR
K00021.1	6296	No	NA	8	5	0	Complete	High-quality	100.0	DTR (high-confidence)	0.0	1.09	
D29630.1	7015	No	NA	4	3	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
X14383.1	6875	No	NA	1	1	0	Medium-quality	Genome-fragment	55.5	AAI-based (high-confidence)	0.0	1.0	
M11852.1	4458	No	NA	1	1	0	Low-quality	Genome-fragment	36.72	AAI-based (high-confidence)	0.0	1.0	
AF182760.1	7320	No	NA	2	1	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
M26927.1	8088	No	NA	3	3	0	Complete	High-quality	100.0	DTR (high-confidence)	0.0	1.01	
L07937.1	7099	No	NA	3	3	0	Medium-quality	Genome-fragment	66.82	AAI-based (high-confidence)	0.0	1.0	
L07938.1	3593	No	NA	3	2	0	Low-quality	Genome-fragment	33.67	AAI-based (high-confidence)	0.0	1.0	
M80216.1	7462	No	NA	5	4	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
J04375.1	6211	No	NA	2	2	0	High-quality	High-quality	99.68	AAI-based (high-confidence)	0.0	1.0	
J02428.1	11161	No	NA	5	5	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
L40883.1	11131	No	NA	6	3	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
AF014388.1	9264	No	NA	2	2	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
AF052723.1	8448	No	NA	3	3	0	Complete	High-quality	100.0	DTR (high-confidence)	0.0	1.06	
AF188515.1	9799	No	NA	1	1	0	High-quality	High-quality	99.66	AAI-based (high-confidence)	0.0	1.0	
AJ012005.1	7147	No	NA	3	3	0	Medium-quality	Genome-fragment	67.26	AAI-based (high-confidence)	0.0	1.0	
AJ012006.2	3569	No	NA	3	2	0	Low-quality	Genome-fragment	33.47	AAI-based (high-confidence)	0.0	1.0	
AF218798.2	5695	No	NA	6	4	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
U15146.1	14104	No	NA	9	5	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
AB012132.1	15462	No	NA	6	5	0	High-quality	High-quality	99.97	AAI-based (high-confidence)	0.0	1.0	
AF334111.2	4268	No	NA	3	1	0	High-quality	High-quality	99.48	HMM-based (lower-bound)	0.0	1.0	
AF389462.1	4164	No	NA	1	1	0	Low-quality	Genome-fragment	16.78	AAI-based (high-confidence)	0.0	1.0	
AF389463.1	3853	No	NA	1	1	0	Low-quality	Genome-fragment	15.53	AAI-based (high-confidence)	0.0	1.0	
AF389464.1	3846	No	NA	1	0	0	Low-quality	Genome-fragment	15.5	AAI-based (high-confidence)	0.0	1.0	no viral genes detected
AF389465.1	3262	No	NA	1	1	0	Low-quality	Genome-fragment	13.14	AAI-based (high-confidence)	0.0	1.0	
AF389466.1	2851	No	NA	1	0	0	Low-quality	Genome-fragment	11.49	AAI-based (high-confidence)	0.0	1.0	no viral genes detected
AF389467.1	1792	No	NA	1	1	0	Low-quality	Genome-fragment	7.22	AAI-based (high-confidence)	0.0	1.0	
AF389468.1	1501	No	NA	1	0	0	Low-quality	Genome-fragment	6.05	AAI-based (high-confidence)	0.0	1.0	no viral genes detected
AF389469.1	1332	No	NA	1	0	0	Low-quality	Genome-fragment	5.37	AAI-based (high-confidence)	0.0	1.0	no viral genes detected
AF389470.1	1187	No	NA	1	0	0	Low-quality	Genome-fragment	4.78	AAI-based (high-confidence)	0.0	1.0	no viral genes detected
AF033822.1	12708	No	NA	8	1	0	High-quality	High-quality	97.68	HMM-based (lower-bound)	0.0	1.04	
AF038665.1	5163	No	NA	2	2	0	High-quality	High-quality	99.16	AAI-based (high-confidence)	0.0	1.0	
U18101.2	11019	No	NA	5	5	0	High-quality	High-quality	99.53	AAI-based (high-confidence)	0.0	1.0	
AF081020.2	11822	No	NA	5	3	0	High-quality	High-quality	99.03	AAI-based (high-confidence)	0.0	1.0	
AF441393.1	5964	No	NA	4	4	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
AF201902.1	12035	No	NA	6	5	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.13	
AF235033.1	3373	No	NA	1	1	0	Low-quality	Genome-fragment	42.97	AAI-based (high-confidence)	0.0	1.0	
AF235165.1	2404	No	NA	1	1	0	Low-quality	Genome-fragment	30.45	AAI-based (high-confidence)	0.0	1.0	
AF235166.1	2053	No	NA	2	2	0	Low-quality	Genome-fragment	26.15	AAI-based (high-confidence)	0.0	1.0	
AF291704.5	6562	No	NA	1	1	0	Medium-quality	Genome-fragment	54.73	AAI-based (high-confidence)	0.0	1.0	
AF291703.2	3671	No	NA	1	1	0	Low-quality	Genome-fragment	30.99	AAI-based (high-confidence)	0.0	1.0	
AF291702.1	1871	No	NA	1	1	0	Low-quality	Genome-fragment	15.78	AAI-based (high-confidence)	0.0	1.0	
AF280539.1	6683	No	NA	2	1	0	Low-quality	Genome-fragment	43.63	AAI-based (high-confidence)	0.0	1.0	
AF061869.1	4616	No	NA	6	3	0	Low-quality	Genome-fragment	30.32	AAI-based (high-confidence)	0.0	1.0	
AF280540.1	1720	No	NA	1	0	0	Low-quality	Genome-fragment	11.64	AAI-based (high-confidence)	0.0	1.0	no viral genes detected
AF280541.1	1203	No	NA	1	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
AJ311875.1	7036	No	NA	2	1	0	Medium-quality	Genome-fragment	55.55	AAI-based (high-confidence)	0.0	1.0	
AJ311876.1	5619	No	NA	1	0	0	Low-quality	Genome-fragment	44.37	AAI-based (high-confidence)	0.0	1.0	no viral genes detected
D21829.2	9332	No	NA	4	4	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
U57047.1	3431	No	NA	1	1	0	Low-quality	Genome-fragment	39.57	AAI-based (high-confidence)	0.0	1.0	
U34050.1	2874	No	NA	1	1	0	Low-quality	Genome-fragment	33.41	AAI-based (high-confidence)	0.0	1.0	
U85399.1	2315	No	NA	2	2	0	Low-quality	Genome-fragment	26.72	AAI-based (high-confidence)	0.0	1.0	
U15440.1	8118	No	NA	3	2	0	Medium-quality	Genome-fragment	52.99	AAI-based (high-confidence)	0.0	1.0	
U15441.1	7193	No	NA	5	4	0	Low-quality	Genome-fragment	46.95	AAI-based (high-confidence)	0.0	1.0	
X78602.1	5897	No	NA	3	2	0	Medium-quality	Genome-fragment	56.78	AAI-based (high-confidence)	0.0	1.0	
L07269.1	4504	No	NA	4	2	0	Low-quality	Genome-fragment	43.26	AAI-based (high-confidence)	0.0	1.0	
D11028.1	5273	No	NA	4	4	0	High-quality	High-quality	94.27	AAI-based (high-confidence)	0.0	1.0	
AF171942.1	3011	No	NA	1	1	0	Medium-quality	Genome-fragment	69.51	AAI-based (high-confidence)	0.0	1.0	
AF171943.1	1311	No	NA	1	1	0	Low-quality	Genome-fragment	30.55	AAI-based (high-confidence)	0.0	1.0	
AJ238607.1	6043	No	NA	2	2	0	Medium-quality	Genome-fragment	50.72	AAI-based (high-confidence)	0.0	1.0	
AJ277556.1	2964	No	NA	3	1	0	Low-quality	Genome-fragment	24.18	AAI-based (high-confidence)	0.0	1.0	
AJ243719.1	3134	No	NA	2	2	0	Low-quality	Genome-fragment	25.61	AAI-based (high-confidence)	0.0	1.0	
AB011257.1	14042	No	NA	7	3	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
U73201.1	4422	No	NA	1	1	0	Low-quality	Genome-fragment	17.41	AAI-based (high-confidence)	0.0	1.0	
U73202.1	3512	No	NA	1	0	0	Low-quality	Genome-fragment	14.08	AAI-based (high-confidence)	0.0	1.0	no viral genes detected
U72757.1	3195	No	NA	1	0	0	Low-quality	Genome-fragment	12.81	AAI-based (high-confidence)	0.0	1.0	no viral genes detected
U36562.1	2218	No	NA	1	0	0	Low-quality	Genome-fragment	8.89	AAI-based (high-confidence)	0.0	1.0	no viral genes detected
U36563.1	2449	No	NA	1	0	0	Low-quality	Genome-fragment	9.82	AAI-based (high-confidence)	0.0	1.0	no viral genes detected
U36564.1	1579	No	NA	1	0	0	Low-quality	Genome-fragment	6.33	AAI-based (high-confidence)	0.0	1.0	no viral genes detected
U36402.1	1578	No	NA	2	0	0	Low-quality	Genome-fragment	6.32	AAI-based (high-confidence)	0.0	1.0	no viral genes detected
U36565.1	1397	No	NA	1	0	0	Low-quality	Genome-fragment	5.5	AAI-based (high-confidence)	0.0	1.0	no viral genes detected
U36566.1	1224	No	NA	1	0	0	Low-quality	Genome-fragment	4.91	AAI-based (high-confidence)	0.0	1.0	no viral genes detected
U36567.1	1163	No	NA	1	0	0	Low-quality	Genome-fragment	4.66	AAI-based (high-confidence)	0.0	1.0	no viral genes detected
U36568.1	1036	No	NA	1	0	0	Low-quality	Genome-fragment	4.15	AAI-based (high-confidence)	0.0	1.0	no viral genes detected
U36569.1	1066	No	NA	1	0	0	Low-quality	Genome-fragment	4.27	AAI-based (high-confidence)	0.0	1.0	no viral genes detected
AB017037.1	9275	No	NA	3	2	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
M97264.1	8832	No	NA	6	5	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
U93192.1	3439	No	NA	1	1	0	Low-quality	Genome-fragment	39.65	AAI-based (high-confidence)	0.0	1.0	
U93193.1	2939	No	NA	2	1	0	Low-quality	Genome-fragment	33.95	AAI-based (high-confidence)	0.0	1.0	
U93194.1	2310	No	NA	2	2	0	Low-quality	Genome-fragment	26.66	AAI-based (high-confidence)	0.0	1.0	
AF226160.1	3459	No	NA	1	1	0	Low-quality	Genome-fragment	39.9	AAI-based (high-confidence)	0.0	1.0	
AF226161.1	2944	No	NA	1	1	0	Low-quality	Genome-fragment	34.26	AAI-based (high-confidence)	0.0	1.0	
